,Wins,+/-,2PM_PACE,2p%,2pa,2pm,3P%,3PA,3PM,3PM_PACE,AST,AST RAT,AST%,AST/TO,AST_PACE,BLK,DEFRTG,DREB,DR_PACE,EFG%,FG%,FGA,FGM,Losses,NETRTG,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS OFF TOV,OPP PTS PAINT,OREB,OR_PACE,PACE,REB,STL,STOCKS,STOCKS_PACE,TOV,TOV%,TO_RATIO,TS%,UA_PACE,UncontestedAssists,pts_off_tov,pts_paint,season,ufga,ufgm,ufgp
+/-,0.96,0,0.021717565,0.655394106,-0.326803712,-0.036293348,0.645876615,0.266315446,0.441898094,0.472387985,0.490528557,0,0,0,0.550636388,0.327946331,0,0.250862445,0.383504177,0,0.702966524,-0.177926919,0.451447018,-0.964266382,0,0,0,0,0,-0.075499652,-0.042313104,0,0.118722876,0.248675056,0.350947122,0.407285523,-0.246895215,0,0.025650633,0,0.009860444,-0.025488349,-0.197891318,-0.198821617,,0.073060143,0.308435539,0.480671622
NETRTG,0.95,0.993722522,0.001420256,0.651078155,-0.346517999,-0.060177879,0.66481294,0.260239021,0.440515881,0.473140453,0.475185382,0,0,0,0.537283233,0.369612275,-0.692400892,0.233672739,0.372428409,0,0.706537494,-0.229480075,0.417058486,-0.954830766,0,0,0,0,0,-0.136905174,-0.102928642,0,0.063047357,0.260619085,0.384104877,0.445293166,-0.250284562,0,0.023990607,0,0.023769653,-0.012611198,-0.199865174,-0.206838686,,0.078649255,0.310154611,0.473361389
EFG%,0.72,0.740956076,-0.223955268,0.917728464,-0.569697626,-0.176951791,0.781652935,0.508116298,0.701486856,0.697586409,0.600500095,0.610824466,0.436065927,0.379612005,0.593424069,0.150532171,-0.202240998,0.154084776,0.062156284,0,0.86999699,-0.229302863,0.552658886,-0.717648788,0.746932375,0,0,0,0,-0.328376264,-0.36546687,0,-0.128440647,0.186723564,0.203307873,0.168710616,0.100857375,0.087746102,-0.149966039,0,-0.148049957,-0.137873481,-0.039838646,-0.090363889,,-0.022224951,0.269763386,0.561409234
TS%,0.70,0.733967556,-0.243659472,0.886702361,-0.568503588,-0.191951807,0.773966198,0.482967592,0.67397442,0.666847747,0.580895556,0.589549574,0.437600239,0.346998528,0.570594406,0.142285343,-0.171065879,0.121201829,0.016454783,0.97248558,0.844445591,-0.273222172,0.50083496,-0.697735183,0.747177482,0,0,0,0,-0.316183351,-0.355466908,0,-0.142363025,0.22926579,0.222866619,0.187202604,0.129341453,0.118591442,-0.116900105,0,-0.16912295,-0.157855595,0.024172214,-0.072436314,,-0.057664186,0.232354038,0.5470361
FG%,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164741849,0.70150011,-0.666765979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05081696,0,0,0,0.128777161,0.13652957,,-0.091429227,0.220941455,0.586945078
3P%,0.64,0,-0.036771341,0.479351268,-0.348311975,-0.141450284,0,0.133313119,0.414871406,0.472584075,0,0,0,0,0,0,0,0,0,0,0.740787073,-0.467147969,0.276286809,-0.636394032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108360304,0,0,0,0.014035983,-0.124925839,,0.1395892,0.351175566,0.436204482
2p%,0.63,0,-0.243373933,0,-0.542405076,-0.108994517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787578593,-0.018489436,0.634725718,-0.626336731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23102172,0,0,0,-0.014313247,0.006115483,,-0.106431238,0.182609784,0.540930051
AST_PACE,0.53,0,-0.070506152,0.576691626,-0.297163827,-0.037994884,0.438968492,0.304757945,0.411931455,0.400326829,0.968672954,0,0,0,0,0,0,0.122204623,0.052271038,0,0.541137371,-0.046389285,0.415112722,-0.527328091,0,0,0,0,0,-0.238140628,-0.259926429,0,-0.085946955,0,0,0,0,0,-0.010716075,0,0,0,0.011837343,-0.102429095,,0.035060872,0.227035623,0.403115532
ufgp,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.509239893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-0.017237755,0.489772889,0
AST RAT,0.51,0.5288849,-0.138788897,0.582746944,-0.361903418,-0.109122911,0.460481417,0.342145088,0.45053661,0.442422588,0.959005206,0,0.948675322,0.754272242,0.992132243,0.268752144,-0.318318208,0.118298449,0.053519707,0,0.53165483,-0.109971628,0.361169827,-0.507946093,0.524437806,0,0,0,0,-0.350875813,-0.374183077,0,-0.169132977,0.345962631,0.370302231,0.355089355,0.038695334,0,-0.010727744,0,-0.413602332,-0.42363587,0.006226162,-0.124050014,,0.063531843,0.240987002,0.378780005
