team,season,Wins,Losses,ufga,ufgm,ufgp,pts_off_tov,TO_RATIO,pts_paint,FGM,FGA,FG%,2pm,2PM_PACE,2pa,2p%,3PM,3PM_PACE,3PA,3P%,OREB,OR_PACE,DREB,DR_PACE,REB,AST,AST_PACE,UncontestedAssists,UA_PACE,TOV,STL,BLK,STOCKS,STOCKS_PACE,+/-,DEFRTG,NETRTG,AST%,AST/TO,AST RAT,TOV%,EFG%,TS%,PACE,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT
76ers,2016,28,54,1564,628,0.40153452685422,626,0.4126565589980224,1520,3088,6992,44.2,2257,22.355388272583202,4549,0.49615300100000004,831,8.230982567353408,2443,34.0,807,7.993264659270999,2706,26.802694136291603,3513,1949,19.304675118858956,0.32221652129297074,0.003191526557973165,1366,692,420,1112,11.014263074484946,-467,106.4,-5.7,63.1,1.43,17.6,16.4,50.1,53.9,100.96,1517,1106,1256,3698
Bucks,2016,42,40,1288,524,0.40683229813664595,660,0.49586776859504134,1644,3182,6715,47.4,2462,25.452289879044763,4769,0.516250786,720,7.44339915227954,1946,37.0,723,7.474413315414039,2589,26.76522278507185,3312,1984,20.5106998862814,0.26411290322580644,0.002730413555523689,1145,666,436,1102,11.392535924738963,-15,106.4,0.5,62.4,1.73,18.6,14.4,52.7,56.5,96.73,1331,1040,961,3580
Bulls,2016,41,41,1476,640,0.43360433604336046,670,0.5288082083662194,1800,3169,7141,44.4,2546,26.05403192795743,5310,0.47947269299999995,623,6.375358166189112,1831,34.0,999,10.223086369218175,2797,28.622595169873108,3796,1851,18.94187474416701,0.3457590491626148,0.0035382628854135774,1112,643,393,1036,10.601719197707736,35,104.5,0.1,58.4,1.66,17.0,13.8,48.7,53.0,97.72,1267,977,1125,3710
Cavaliers,2016,51,31,1400,612,0.43714285714285717,500,0.3663003663003663,1260,3275,6963,47.0,2208,22.4435860947347,4184,0.527724665,1067,10.845700345598699,2779,38.4,766,7.786135393372637,2821,28.674527342955887,3587,1858,18.885952429355562,0.3293864370290635,0.003348103649411095,1121,539,327,866,8.802602154909534,261,108.0,2.9,56.7,1.66,17.2,13.7,54.7,58.0,98.38,1365,1122,1094,3650
Celtics,2016,53,29,1396,608,0.4355300859598854,562,0.45140562248995986,1560,3168,6978,45.4,2183,21.979460330245672,4236,0.515344665,985,9.917438582360049,2742,35.9,744,7.4909383809907375,2698,27.16472009665727,3442,2069,20.831655255739026,0.29386176897051713,0.002958737101998763,1088,617,340,957,9.635521546516312,216,105.5,3.1,65.3,1.9,18.9,13.3,52.5,56.7,99.32,1245,1143,1002,3544
Clippers,2016,51,31,1512,668,0.4417989417989418,620,0.4971932638331997,1640,3242,6820,47.5,2401,24.44512319283242,4575,0.524808743,841,8.562410914274079,2245,37.5,738,7.513744654856445,2790,28.40562003665241,3528,1848,18.814905314599876,0.36147186147186144,0.0036802266490720977,1062,612,347,959,9.763795560985542,352,105.8,4.5,57.0,1.74,17.3,13.1,53.7,57.4,98.22,1247,1044,1171,3502
Grizzlies,2016,43,39,1616,616,0.3811881188118812,650,0.5341002465078061,1428,2984,6854,43.5,2217,23.400886637112098,4685,0.47321238,767,8.09584124973612,2169,35.4,886,9.351910491872493,2621,27.665188938146507,3507,1744,18.4082752797129,0.3532110091743119,0.0037282141563680805,1059,653,344,997,10.523538104285413,40,104.5,0.1,58.4,1.65,16.6,13.5,49.1,53.5,94.74,1217,946,1199,3096
Hawks,2016,43,39,1404,640,0.45584045584045585,736,0.5164912280701754,1568,3123,6918,45.1,2394,23.980767304417512,4781,0.500732064,729,7.30241410397676,2137,34.1,842,8.434338375237905,2793,27.977561855153763,3635,1938,19.41300210357608,0.3302373581011352,0.0033079971762109105,1294,672,397,1069,10.708203946709407,-70,103.1,-0.8,62.1,1.5,17.5,15.7,50.4,54.1,99.83,1425,1083,1048,3210
Heat,2016,41,41,1172,476,0.4061433447098976,482,0.4220665499124343,1392,3202,7037,45.5,2394,24.53120196741469,4824,0.49626865700000006,808,8.279536837790756,2213,36.5,872,8.935341735833589,2705,27.71800389384158,3577,1742,17.85018956860334,0.27324913892078073,0.002799970682659911,1102,588,469,1057,10.83102776923865,87,104.1,1.0,54.4,1.58,16.3,13.7,51.2,54.1,97.59,1142,1053,844,3646
Hornets,2016,36,46,1288,516,0.40062111801242234,496,0.4631185807656396,1316,3093,7000,44.2,2269,23.188553909044458,4653,0.487642381,824,8.421052631578949,2347,35.1,721,7.36842105263158,2853,29.156872764435363,3574,1891,19.32549821154829,0.27287149656266524,0.0027886714007426187,942,571,390,961,9.821154828819623,16,106.1,0.3,61.1,2.01,17.7,11.7,50.1,54.7,97.85,1071,937,1055,3320
